Project Title,Student Display Name,Organization Name,Mentors,
Key mapping GUI,Tomasito665,Mixxx DJ Software,"RJ Ryan, Ferran Pujol Camins",
YAPDNS,system64,The Honeynet Project,"Pietro Delsante, Fedele Mantuano, Andrea De Pasquale",
FFv1 P frame support,sdolganov,FFmpeg,"Reynaldo Verdejo, michaelni",
coala: Integrating coala with the Eclipse IDE,Sheikh Araf,Python Software Foundation,"Harsh Dattani, Lasse Schuirmann (sils1297), AbdealiJKothari",
User interfaces for Tracker,Dilushi,Sustainable Computing Research Group ( SCoRe ),"Dinith Minura, Namal Jayasuriya, Rumesh",
File Support,izgzhen,Mozilla,Manishearth,
KolibriOS. Development of TLS/SSL library,DenisKarpenko,KolibriOS,"Jeffrey A., Pathoswithin",
IPFS friendly & distributed version of Amber,skbly7,Berkman Center for Internet and Society,Genève,
Cache layer for jpf-nhandler,Jayton,Java Pathfinder Team,"franck, Nastaran, Cyrille Artho",
libnv improvements,Dashhh,FreeBSD,"pjd, oshogbovx@gmail.com",
WikiToLearn Improved Editor,falit94,KDE,"Irene Cortinovis, Gianluca Rigoletti",
Real-time Wind Flow in Cities,Lukas Bystricky,"Urban Energy Systems Laboratory, Empa",Christoph Waibel,
Fingerprinting for Programs,Blaine,Java Pathfinder Team,Willem Visser,
Python scripting support for Avogadro 2,Reinis Danne,Open Chemistry,Geoffrey Hutchison,
ListenBrainz: A submission API compatible with Last.fm scrobblers,armalcolite,MetaBrainz Foundation,Mayhem & Chaos,
"Improving WebRTC, Apache Camel and Jitsi",Baxillie,Debian Project,"gled, Boris Grozev",
Shubham Bhadani : Line listing record importer,shubham0794,Health Information Systems Programme,Saptarshi P,
Polari : Implement Search,Kunal Jain,GNOME,"fmuellner, garnacho, hougaardjunior@gmail.com",
Neuroevolution Algorithms Implementation,Bang,mlpack: a scalable C++ machine learning library,Marcus Edel,
Sonic Anemometer,Visaoni,BeagleBoard.org,"Alex Hiam, nerdboy, Hunyue Yau",
Game for First Discovery of Preferences,PaliwalSparsh,Inclusive Design Institute,"danayo, Justin",
Bit torrent client for KolibriOS,Utsav_Chokshi,KolibriOS,"Jeffrey A., Pathoswithin",
"PyPy: Integration of Async IO, Matrix Multiplication and Unpacking Generalizations for Python 3.5 Semantics",Raffael_T,Python Software Foundation,"Ronan Lamy, Richard Plangger",
IPython,Rohan Jaswal,BioJS,"dougblank@gmail.com, Tim Ruffles",
Overhauling Zulip website’s UX to handle large teams,Kartik Maji,Zulip Open Source Project,"neerajwahi@gmail.com, acrefoot",
A module system for Hammer.js,shad0w_,jQuery Foundation,"arschmitz, runspired",
Image processing and source detection in Gammapy,Olga Vorokh,OpenAstronomy,"joleroi, Christoph",
Liberty Eiffel meets Windows,Petru Gurita,GNU Project,Paolo Redaelli,
Radare Web Interface,Gautier GC,radare,"alvaro_fe, pancake",
Apertium website improvements,Kira,The Apertium Project,"Kevin Brubeck Unhammer, Jonathan W",
"Qt5 in PISAK.org, an open system for alternative communication",bj,International Neuroinformatics Coordinating Facility,mateuszkruszynski@gmail.com,
FX2 firmware support for FTDI emulation,Sab,TimVideos.us,rohitksingh,
Implementing Intra Voxel Incoherent Motion (IVIM)  techniques in Dipy,sahmed95,Python Software Foundation,"Ariel Rokem, Eric Peterson, RafaelNH",
openSNP: Linking Phenotypes to SNPs in openSNP,Vivek Rai,Open Bioinformatics Foundation,"Philipp Bayer, gedankenstuecke",
Upgrade Data Collection support for Human Genetics Care,Akshika Wijesundara,OpenMRS,Suranga,
MaxScale filter to real Microsoft SQL Server syntax,Lisa Reilly Brinson,MariaDB,markusjm,
Unifying low-level text layout using HarfBuzz,autoit,LibreOffice,"Khaled Hosny, Michael Meeks",
GCC - Development of GIMPLE Front End,Prasad Ghangal,GNU Project,richardguenther@gmail.com,
Long Running Ruby and Rails Benchmarks,shahsaurabh0605,Ruby,"tgxworld, Prathamesh",
Porting xv6 to the lowRISC platform,Jeff Rogers,lowRISC,Alex Bradbury,
Timeline and Search Navigation for loklak,Leon,FOSSASIA,Orbiter,
Improve Selenium WebDriver instances,maryse,jQuery Foundation,Dylan,
RoboComp: Object detection for simulated environments,Harit,Robocomp,"Rajath Kumar M P, marcog",
Proposal for PCSA Web-app,Akanksha Bodhankar,"Systers, an Anita Borg Institute Community","Prajakta Naik, Themiya, May Burgos",
CKEditor plugins for TMGMT,sasanikolic,Drupal,Miro Dietiker,
Telepathy Connection Manager for Ring protocol,Alok Anand,Debian Project,"Kaffeine, Daniel Pocock",
Statistics from the Developer Workspace,Akif,Eclipse Foundation,Tim84,
Capture Tracking Improvements,Scott Egerton,The LLVM Compiler Infrastructure,"Nuno P. Lopes, Mehdi Amini",
Memory Safety,pakhandibaba,Scilab Enterprises,"Paul, Marcos Cardinot",
Add USB target mode driver based on CTL,rishabhchoudhary,FreeBSD,"HPS, Edward Tomasz Napierala",
Bring Your Own Pois +  Android Controller Upgrade,Ivan Josa,Physical Web Project,"Jezabel, Julio Bondia, Andreu",
Implementation of Holonomic Function in SymPy,shubhamtibra,SymPy,"Ondřej Čertík, jksuom",
Easy Installation on Major Platforms,arianepaola,Shogun Machine Learning Toolbox,"besser82, sonne, wiking",
The Online Resource for Interface Based Interaction Networks (TOR-IBIN) Web Interface,MilesGSOC,National Resource for Network Biology (NRNB),Mohamed Helmy,
OpenADS - On the fly insights from the elasticsearch data stream,Milindu Sanoj Kumarage,Sustainable Computing Research Group ( SCoRe ),"Charitha Elvitigala, Ruwan Geeganage, Sameera",
Social Media Features,Steff,Catrobat,"Anja Petri, matthiasmueller, Annemarie",
coala: Extend linter integration,mr-karan,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297), AbdealiJKothari, manoranjan113@gmail.com",
Improve the user experience for new and existing users,Rares-Mihail Visalom,GNOME,"fmuellner, hougaardjunior@gmail.com",
Adopt a Language Pair : Gujarati-Hindi,Raveesh Motlani (kindleton),The Apertium Project,"Vinit Ravishankar, Kartik Mistry",
Build a web service and auto updating pipeline to provide 3D structure alignments for BioPortal,JuexinWang,cBioPortal for Cancer Genomics,"Pieter, Onur, sheridan",
Improved multi-lingual content management,João Reys Santos,Joomla!,"infograf768, andre.pereiradasilva, rob clayburn",
Solving content conflicts with merge algorithms in Drupal 8,Rakesh Verma,Drupal,"dixon_, timmillwood",
Init and IPC services for Browsix,flat1101,PLASMA-UMass,Bobby Powers,
SBGN-ML and SBML to Escher Converter,Devesh Khandelwal,National Resource for Network Biology (NRNB),zakandrewking,
[Malaria - iOS] Developing Malaria Prevention iOS App,Teodor Ciuraru,"Systers, an Anita Borg Institute Community","bphenriques, Jayaruwan Mannapperuma, Nicki Hutchens",
Improve Ceph’s Python Infrastructure,Ani,Ceph,jdurgin,
Improving the state of Optim.jl,pkofod,NumFOCUS,Miles Lubin,
Automatic Blank Handling,Juned Ali,The Apertium Project,"Mikel L. Forcada, Kevin Brubeck Unhammer, Tino Didriksen",
Rank Metric Codes in Sage,arpitdm,Sage Mathematical Software System,"jsrn, David",
HTML5 Player: Compatibility/Feature Completeness (Scratch),wintersw,Catrobat,Christopher Immervoll,
An integrated graphical environment for visual inspection and filtering of time-series for astronomy,dash95,Timelab Technologies Ltd.,timingpaul,
KDEProposalCantorJuliaBackend,IvanLakhtanov,KDE,Filipe Saraiva,
Gesture recognition using multimodal deep learning,mozin,Red Hen Lab,"ksingla, Francis Steen",
HDMI extenders via the Gigabit Ethernet port for HDMI2USB.tv,aom,TimVideos.us,Florent Kermarrec,
Orfox,amoghbl1,The Tor Project,n8fr8,
GsocProposal_Sreeja,sreeja kamishetty,FOSSASIA,"jancborchardt_, nghongquan@gmail.com, Aruna Herath, vuhung, Darwin Gosal, Hpdang, Derek 呆, Sahil Bajaj",
Orange Add-on: Educational Series,Primož Godec,Orange – Data Mining Fruitful & Fun,"Janez Demsar, Blaz",
Mobile Money Integration in West and Central Africa.,Daniel Carlson,Mifos Initiative,"Ayuk Etta, Omeri Antony",
Nautilus: Batch renaming,Alexandru Pandelea,GNOME,Carlos Soriano,
Visual Lane Editor for iD,kepta,OpenStreetMap,bhousel,
Extending solveset,kshitij10496,SymPy,"Ondřej Čertík, hargup, aktech",
Deep Learning and Saliency Detection Proposal,Yida Wang,OpenCV,"Bhack, Manuele",
Orange.data.Table to pandas migration,sstanovnik,Orange – Data Mining Fruitful & Fun,"K, astaric",
File Tray to improve selecting files in Dolphin,arnav dhamija,KDE,"Pinak, Boudhayan Gupta",
Vectorize.jl,rprechelt,The Julia Language,"Jameson, Simon Byrne, archdrobison@gmail.com",
Breaking changes for the 2.0 release,Chalkos,Ruby,"indirect, segiddins",
Android Field Operations App Version 3,Rajan Maurya,Mifos Initiative,IshanKhanna,
Using Go-Docker to enhance Galaxy functionalities,Varun Shankar S,Open Genome Informatics,"Dannon, osallou, ylebras, nturaga",
Create a sandbox interface for tests,hakatashi,jQuery Foundation,Dylan,
Open Source Science Experiments & Data Acquisition System  for Physics Education and Research with ExpEYES - Pocket Science Lab,Gnovi,FOSSASIA,"MarioB, gisc, Tabesin, Lorenz, EVUS",
ZeroMQ-based distributed messaging system in the OpenBCI brain­-computer interface framework,Alex Chrabrow,International Neuroinformatics Coordinating Facility,mateuszkruszynski@gmail.com,
Implementation of hyperspectral unmixing algorithms for unimixR package,ABelov,R project for statistical computing,"Claudia, Bryan Hanson",
The List Extractor,FedBai,dbpediaspotlight,"Emanuele Storti, Marco Fossati, Claudia Diamantini, Domenico Potena",
Front end rethink,marksurnin,Green Navigation,"Max, Janis",
A Clustering-based Analysis Tool for Anomaly Detection at Large Scale,xiaolei,Sustainable Computing Research Group ( SCoRe ),"Charitha Elvitigala, Ruwan Geeganage, Sameera",
GSoC 2016 EXPONENTIAL INTEGRATORS,Chiara Segala,GNU Octave,"Marco, JackC",
Prototype Plugin framework for Authentication,AndreeaBican,cBioPortal for Cancer Genomics,"Benjamin Gross, Ersin, sheridan",
GSoC Project Proposal - Weighting Schemes,Vivek Pal,Xapian Search Engine Library,Gaurav Arora,
Raspberry Pi integration,p4,Catrobat,"84n4n4, X4mp",
Draft proposal for Eclipse Flux,Xin Wei,Eclipse Foundation,Martin Lippert,
Tree searching using regular-expression-like queries,AMechtley,Open Bioinformatics Foundation,"Jaime Huerta Cepas, francois.serra, Renato Alves",
KStars on Windows,Raphael Cojocaru,KDE,"Akarsh Simha, Jasem Mutlaq",
Apache CouchDB datastore implementation for Apache GORA,cihad guzel,Apache Software Foundation,lewismc,
Creator Dashboard,Avijit Gupta,Oppia Foundation,"seanlip, allan, wxyxinyu",
Constraint-grammar aware unsupervised training of the part-of-speech tagger,frankier,The Apertium Project,"Mikel L. Forcada, Flammie, Francis Tyers",
Annotation support,shredpub,MuseScore,Marc Sabatella,
Reworking Django's Indexes,Akshesh,Django Software Foundation,"MarkusH, mjtamlyn",
Automatic Atomic Host Updates,champika,Fedora Project,walters,
Avogadro-2: Integration of cclib data parser using Chemical JSON,Sanjeed Schamnad,Open Chemistry,"ATenderholt, Karol Langner",
Web-based GDB Frontend,baygeldin,Mozilla,jonasfj,
CLISP - Make a release (finally),musteresel,GNU Project,sds,
Enhancing Android Dashboard App,Laavanye,Health Information Systems Programme,Araz Abishov,
MyHDL: JPEG Encoder Frontend,mkatsimpris,Python Software Foundation,"Christopher, Oscar Diaz",
Interactive Platform for Statistical Computing,shubhamkmr,Computational Biology @ University of Nebraska-Lincoln,Akram Mohammed,
Integrate Google Cloud Vision API to Drupal 8,ajalan065,Drupal,penyaskito,
LUKS & LVM support for Calamares & KDE Partition Manager,tctara,KDE,"Andrius Štikonas, teo",
Bug Hunt,apsdehal,jQuery Foundation,"arschmitz, Gabriel Schulhof",
Implement UJS using native JavaScript,Dangyi Liu,Ruby,"pixeltrix, bai",
"qemu-img fuzzing and subcommand ""dd""",Reda,QEMU,"Fam Zheng, Stefan Hajnoczi",
Cthulhu - Vitrivr Feature Extraction Pipeline,pabloem,vitrivr,Luca Rossetto,
Java ByteBuffer Support for Nio4r,Upekshe Jayasekera,Ruby,"headius, Tony Arcieri, bai",
Improvements to the SunPy Database,Punyaslok Pattnaik,OpenAstronomy,"Simon Liedtke, Cadair",
Enhancements to DIGViewer.js,Vijay Mulpuri,Canadian Centre for Computational Genomics (C3G) - Montreal node,David Bujold,
Computer Vision and Machine Leaning Applications on Artwork Images,mfs6174,Red Hen Lab,"Line Cecilie Engh, Francis Steen, Mark Turner",
PeaceCorps Safety App (Android),Rohan Doddaiah,"Systers, an Anita Borg Institute Community","Buddhiprabha  Erabadda, Calistus, Dinu Kumarasiri",
Create new recommendation strategy for AppRecommender,Luciano,Debian Project,Antonio Terceiro,
Automatic IPv6 network configuration in mesh networks,Robert Mader,FOSSASIA,"MarioB, frederik165@googlemail.com",
"Sardu, abbarra vivu!",gianfro,The Apertium Project,"admamo, hectoralos, Francis Tyers",
Signal Intelligence Toolbox (gr-sigint),Sbmueller,GNU Radio,"rsreeraj, skoslowski",
SPI Flash Emulator,pmezydlo,BeagleBoard.org,"mdp, m_w, bradfa",
Python Implementations & Visualization of Algorithms in AIMA 4th Edition.,reachtarunhere,aimacode,PeterNorvig,
AF_VSOCK packet capture in Linux and Wireshark,GerardGarcia,QEMU,Stefan Hajnoczi,
Implementing one more absolute coordinates device for QEMU – a serial tablet with behaviour like usb-tablet we use to get mouse integration,avg206,QEMU,Gerd Hoffmann,
Email Customizer and Rich-text support,Serhii Beliablia,TEAMMATES @ National University of Singapore,wkurniawan07,
Apache Spark: Exposing more R and Python APIs for MLlib,Kai Jiang,Apache Software Foundation,jkbradley,
ModSecurity Connector for Node.js,m2n,ModSecurity,"Chaim Sanders, Zimmerle",
"Recording actions logs, accessible by super admin",muhakh,Joomla!,"Llewellyn van der Merwe, Al Walker",
A Centralized Library for Convex Optimization and Integration of CVXPY with ILOG CPLEX,fabioftv,CVXPY,"stevend, Stephen Boyd",
Porting XBaya with latest Airavata Server and Apache Pivot,linfestus,Apache Software Foundation,Suresh Marru,
Interconversion between the systems biology modeling formats SBML and BioPAX,tramy,National Resource for Network Biology (NRNB),Mike Hucka,
Layer Manager,Severin,Blender Foundation,Ton Roosendaal,
Proposal for GSoC 2016 - Andrea Torlaschi,runnerway,OpenKeychain (OpenPGP for Android),Valodim,
"Admin Center, Elasticsearch integration for Sailor and Luagoogle",rnikhil275,LabLua,Etiene Dalcol,
Postcopy migration: Recovery from a broken network connection,haris3301,QEMU,Dave Gilbert,
MPEG-4 Audio Lossless Coding (ALS) encoder implementation,Mohammad Umair,FFmpeg,"Thilo Borgmann, Paul B Mahol",
Tails Server,segfault,The Tor Project,asn,
Native Cloud Support for Running WSO2 Middleware on Microsoft Azure,Osura Rathnayake,WSO2,"Imesh Gunaratne, Isuru",
Italian Mars Society (IMS) Proposal: Improving the Step Recognition Algorithm for V-ERAS,Karan_Saxena,Python Software Foundation,"VitoGentile, Antonio, Ambar Mehrotra",
Beaglebone Black BSP Improvement,PunitVara,RTEMS Project,"Ben Gras, mdmarcosdiaz, Martin Galvan, Ketul",
Integrated Development Environment for PySoy,icodemachine,Copyleft Games,Darrel,
DigiKam MySQL/MariaDB Database Support,Swati,KDE,"Maik Qualmann, cauliergilles@gmail.com",
New Parameter Framework and Plugin Based Architecture for Shogun,Sanuj Sharma,Shogun Machine Learning Toolbox,"lisitsyn, besser82, wiking",
[MediaGoblin] Subtitle Interface along with keyboard hotkeys for video player,saksham1115,GNU Project,Boris Bobrov,
Enhancements in FOSSASIA OpenEvent Android app,Shiven Mian,FOSSASIA,Orbiter,
"DVD Subtitles, Example program for Libraries and CEA-708 completion",Rishabh Garg,CCExtractor Development,Carlos Fernández Sanz,
Implement xattr Support of Hurd Project,LastAvengers,GNU Project,"Justus Winter, rbraun",
Kopete :IRC protocol,Harshcrop,KDE,Michel Hermier,
Presolve Routines for LP and SDP within Convex.jl,ramcha24,NumFOCUS,Madeleine,
Exact Solution Methods,NicoDP,PRISM Model Checker,Vojtech Forejt,
Markov Switching GARCH models (MSGARCH),Kbluteau,R project for statistical computing,"kboudt, Brian G. Peterson, Dave",
Port Nmatrix to JRuby,prasunanand,Ruby Science Foundation,"headius, fstrozzi, Pjotr Prins, mohawkjohn, Rodrigo Botafogo",
postCP Package Improvement,Malith Jayaweera,R project for statistical computing,"G. Rigaill, Grégory Nuel",
Improvements to opentreetmap-carto,matkoniecz,OpenStreetMap,Math1985,
Educational Plugin,addiittya,OWASP Foundation,"tchafros, Nikola Milosevic, thewayofknowing",
Improving JPF Inspector,Soothsilver,Java Pathfinder Team,Pavel Parizek,
ModSecurity connector for Apache,Tahir Ramzan,ModSecurity,"Chaim Sanders, Zimmerle",
RTEMS Port to ARM Cortex-M4F core-based MCUs,Habeeb Olufowobi,RTEMS Project,"Chris Johns, Hesham, Gedare",
sol-lwm2m: Implement missing features,bsmelo,Soletta Project,"Bruno Dilly, Iscaro",
Principal Coordinate Analysis in clusterMaker2,Supun Arunoda,National Resource for Network Biology (NRNB),Scooter Morris,
Improving libvirt support for bhyve,Fabian Freyer,FreeBSD,Roman Bogorodskiy,
HTTP Load Balancer On Top Of WSO2 Gateway,Venkat,WSO2,"IsuruR, Kasun Indrasiri",
Integration of Spark parallelisation in TMVA,gdphys,CERN SFT,"etejedor, Sergei Gleyzer",
GPU-accelerated Deep Neural Networks in TMVA,Simon Pfreundschuh,CERN SFT,"Lorenzo Moneta, Sergei Gleyzer",
Games: Support more game formats,Ricard Gascons,GNOME,Adrien Plazas,
GNOME Music ownCloud support,gnarula,GNOME,"Lukas Reschke, Felipe Borges",
Mind The Word,Rohan Katyal,Computational Science and Engineering at TU Wien,"Bruno W P, panditaomesh@gmail.com",
Booting the eCos RTOS on the ArchC Simulator,Jainesh Doshi,ArchC,"Rodolfo Azevedo, Maxiwell",
Indic Language Input Tool,Bhavita lalwani,BuildmLearn,neha,
Graphical interface for inserting plugins during simulation,MohmmadAyman,Open Source Robotics Foundation,hugomatic,
Colibri – OBIX Connector,goJoWe16,Computational Science and Engineering at TU Wien,"Andreas Fernbach, dschachi",
DIPY: Automatic Denoising and Robust Brain Extraction,Riddhish Bhalodia,Python Software Foundation,"Eleftherios Garyfallidis, Omar Ocegueda, RafaelNH, Julio Villalon",
Automated Testing,smarshy,"Systers, an Anita Borg Institute Community","nidhimj22, Systers, an Anita Borg Institute Community",
Extempore - Live coding with simulation codes,JPenington,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"benswift, Digego",
Modifying the current neuroshare to hdf5 converter to use the NIX format instead.,Abhay Chaturvedi,International Neuroinformatics Coordinating Facility,gicmo,
"Improving voice, video and chat communication with free software",Jaminy.P,Debian Project,Daniel Pocock,
"Improving voice, video and chat communication with free software",Keerthana,Debian Project,JLouback,
Non-BSM to BSM Conversion Tools,0mp,FreeBSD,"pjd, oshogbovx@gmail.com",
List Of Contributors,Devi Krishnan,Wikimedia Foundation,"addshore, samtar, Niharika",
GRASS GSoC2016 Proposal Bo Yang,Bo Yang,OSGeo - The Open Source Geospatial Foundation,"mlennert, markusN",
Mobile App Control Center,medhach,"Systers, an Anita Borg Institute Community",Neetu Jain,
Motion Interpolation Filter,DSM_,FFmpeg,Paul B Mahol,
Maintain Bundler: a very popular and widely-used open source project,Boggs,Ruby,"RochesterinNYC, indirect",
Malaria HTML,lily,"Systers, an Anita Borg Institute Community","May Burgos, Khushali Desai, RG, Uppaal",
AeroGear WebPush and UnifiedPush Server integration,Idel Pivnitskiy,JBoss Community,Matthias Wessendorf,
Time Series Simulator Using Impulse Responses,Usman Khan,Timelab Technologies Ltd.,Matteo,
Implementing WebSockets parcelport,Egor Shkorov,The STE||AR Group,heller,
Java PathFinder for Android Devices,Octarine,Java Pathfinder Team,"Cyrille Artho, Oksana Tkachuk",
Ruby Port of pymesync,iCHAIT,OSU Open Source Lab,Ken Lett,
Security Layer for NutchServer (NUTCH-1756),Furkan KAMACI,Apache Software Foundation,lewismc,
Git Backend,Vikram Ahuja,Sugar Labs,"TymonR, Walter Bender",
Self - Service | Web/Hybrid App Development,Adhyan,Mifos Initiative,"Pranjal Goswami, gauravsaini03",
Improving the coverage of DroidBot,lynnlyc,The Honeynet Project,"Hanno Lemoine, Hugo Gonzalez",
Apache Cassandra - Add downgradesstable,kdmu,Apache Software Foundation,"yukim, Paulo Motta",
Visualization DLP (Drone Logistics Platform),Xavi Cobos,Liquid Galaxy Project,"Julio Bondia Barceló, Andreu Ibanez",
Port Jangouts from AngularJS 1.4,magarcia,openSUSE,"imobach, ancorgs",
MyHDL:JPEG Encoder Backend,Vikram Raigur,Python Software Foundation,"Josyb, Christopher, Oscar Diaz",
netifd extension: external device handlers,arkap,Freifunk,JULIUS,
Implement go bindings for soletta,Vladimir,Soletta Project,"ceolin, Bruno Dilly, cmarcelo",
Bionode workflow engine for streamed data analysis,thejmazz,Open Bioinformatics Foundation,"Yannick Wurm, maxogden, bmpvieira, mafintosh",
LLVMLinux: Static Analysis,andrew wells,The Linux Foundation,"Behan Webster, Jan-Simon Moeller",
Vox.GL Bootstrap,modwizcode,Copyleft Games,Arc Riley,
tool_pluginkenobi: Your guide to plugin creation,alexandru.elisei,Moodle,David Mudrak,
[Proposal 7]:Improve production system debugging capabilities of WSO2 ESB (ESB Flight Recorder),Dinanjana,WSO2,"Isuru Udana, Chanaka Fernando",
A Hybrid Classifier/Rule-based Event Extractor for DBpedia Proposal,Vincent Bohlen,dbpediaspotlight,"Marco Fossati, Alexandru, swadpasc",
Web Client and Connection Manager for reSIProcate,Mateus Augusto Bellomo Agrello Ruivo,Debian Project,"Kaffeine, Daniel Pocock",
OpenCV dnn module enhancement,vludv,OpenCV,Anatoly,
Working on parallel algorithms for hpx::vector,Sanac,The STE||AR Group,John Biddiscombe,
Automated tool wrapper/converter for CWL,anton-khodak,Open Bioinformatics Foundation,"brainstorm, Michael R. Crusoe",
LibreCAD 3 UI,Feragon,BRL-CAD,"Dongxu Li, rvt",
Open Ephys OpenBCI and Julia integration,strfry,Open Ephys,jvoigts,
A generic computational framework for biconvex minimization toolbox in R,xingguo,R project for statistical computing,"tourzhao@gmail.com, Zhaoran Wang, Raman Arora",
Add Password-based Public-key Encryption to Drupal 8,Muhammad Talha Paracha,Drupal,"colan, Adam Bergstein",
Review of Sidebar and it's functionality,susobhang70,LibreOffice,"jphilipz, Bubli",
Standard Error of Risk and Performance Measures for Non-Normal and Serially Correlated Asset Returns,Xin Chen,R project for statistical computing,"Brian G. Peterson, Rohit Arora, Peter Carl, martinrd",
MTTCG Memory Consistency,Pranith Kumar,QEMU,stsquad,
PSYCO for Reactive Systems,mmuesly,Java Pathfinder Team,"Zvonimir, Falk Howar, Teme",
Tryton: FODT Support for Relatorio.,shrox,Python Software Foundation,"ced, kstenger, Jonathan Levy, Nicolas Évrard",
Support for HHVM,ng420,Xapian Search Engine Library,olly,
[Zeppelin-684] - Proposal,Paul Bustios,Apache Software Foundation,"Alejandro Fernandez, moon",
OWA App Store,Vishnu Rao,OpenMRS,Saptarshi Purkayastha,
Improvements for Bezier Curves,João Araújo,Blender Foundation,jesterKing,
Native Scilab Kernel for Jupyter,leonardojc,Scilab Enterprises,"Pierre-Aimé Agnel, Clément DAVID",
NTFS Driver Improvements for ReactOS,coderTrevor,ReactOS,"Ged Murphy, Heis Spiter",
Improving mitmproxy,dufferZafar,The Honeynet Project,"Maximilian Hils, Thomas Kriechbaumer",
digiKam automatic Red Eyes detection and correction,OmarAmin,KDE,"Mohamed Anwer, cauliergilles@gmail.com",
Add the ability to sync events from CalDAV to Apache OpenMeetings Calendar,ankushm,Apache Software Foundation,"solomax, sebawagner@gmail.com",
Winebuilder - enhance MIME type handling,sbol,The Wine Project,Michael Müller,
Enhanced User Management for GitHub Classroom,Peixuan Ding,GitHub,tarebyte,
User Profile App using ReactJs,adhbh,Health Information Systems Programme,"Mark Polak, Nico",
coala: Writing bears with different programming languages,Redridge,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297), fneu, udayan12167",
AngularJS Community App Enhancements,Fossa,Mifos Initiative,Pranjal Goswami,
High-performance cell analysis tools,SayanMaity,Stony Brook University Biomedical Informatics,"junkong999@gmail.com, Fusheng Wang",
DRAFT PROPOSAL FOR CREATE MENU ITEM FOR ARTICLE OR OTHER COMPONENT,Shubham Rajput,Joomla!,"pe7er, Pedro Renan",
Improving Accessibility and front-end of Debsources,devoxel,Debian Project,"matthieucaneill42@gmail.com, orestis",
Improving collective.easyforms,pjoshi,Plone Foundation,Steve McMahon,
"Rebuild bundler.io, the Bundler website",kruczjak,Ruby,indirect,
GSoC 2016 Application Gaurav Dhingra: Group Theory,Gaurav Dhingra,SymPy,"Ondřej Čertík, asmeurer, jksuom",
Eventhooks for Discourse,fantasticfears,Discourse,"tgxworld, Evil Trout",
Re-Factoring Apache Airavata Codebase to incorporate well-known object-oriented Design patterns and principles,Abhishek Jain,Apache Software Foundation,"Marlon Pierce, Suresh Marru",
